Company,Model,Total Units sold,Average Purchase Rate,ARPU Per Year,Q-Q Projected Growth %,Recent Quarter Sales,Next Quarter Revenue,YoY Forecasted Growth Rate,Units Sold Recent Quarter,Projected Units Sales for Next Quarter,Income Group of Potential Customers,Color
Honda,CR-V,15,1,31194.13333,-2,$62501,$61032,-67.24521011,2,2,High Income,Black
Cadillac,Catera,13,1,28100.15385,,,$60884,,,,High Income,Red
Nissan,Pathfinder,13,1.083333333,38791.83333,41,$43000,$60718,-73.01458203,2,3,Medium Income,Pale White
Mercury,Cougar,13,1,24846.46154,21,$50001,$60563,-28.53923304,2,2,Low Income,Pale White
Saturn,LS,12,1,35291.75,-55,$134501,$60500,-32.77777778,4,2,Medium Income,Pale White
Cadillac,DeVille,7,1,48857.28571,-13,$69001,$60353,-8.556060606,1,1,Medium Income,Red
Volkswagen,Passat,31,1.033333333,16033.56667,13,$53000,$60126,-52.84346251,3,3,Low Income,Red
Buick,LeSabre,23,1,20022,0,$60000,$60066,-33.26148308,3,3,Low Income,Black
Hyundai,Elantra,19,1,24226.52632,127,$26500,$60040,-23.51689787,1,2,High Income,Pale White
Buick,LeSabre,1,1,20000,,,$60000,,,,Medium Income,Black
Nissan,Maxima,12,1,33333.41667,,,$60000,-60.6559957,,,Medium Income,Pale White
Chevrolet,Lumina,23,1,19935.04348,130,$26000,$59805,-47.54223462,1,2,Low Income,Pale White
Volvo,C70,16,1,27406.5,-62,$155501,$59796,66.1,4,2,Medium Income,Black
Mercedes-B,SL-Class,12,1,38167,-22,$76500,$59740,-47.59787023,1,1,High Income,Black
Toyota,Tacoma,11,1,36191.18182,,,$59715,-72.54520627,,,High Income,Black
Volkswagen,Passat,28,1,15639.46429,49,$40000,$59714,-33.09355742,1,1,High Income,Red
Jeep,Wrangler,25,1,15876.28,,,$59536,-0.149266247,,,High Income,Red
Mercedes-B,S-Class,11,1,37863.72727,-38,$96500,$59500,-30.40935673,3,2,Medium Income,Black
Lexus,GS300,8,1,22102.5,,,$58940,-42.58718099,,,High Income,Red
Pontiac,Sunfire,25,1,18067.36,-45,$108002,$58915,-27.2654321,6,3,High Income,Black
Mercedes-B,SLK230,13,1,33154.23077,75,$33501,$58773,-11.75357727,1,2,High Income,Black
Dodge,Durango,18,1.058823529,27647.41176,-30,$84001,$58751,-36.82688172,2,1,High Income,Red
Oldsmobile,Cutlass,11,1,40909.18182,-56,$133001,$58696,-79.82955326,2,1,Medium Income,Pale White
Ford,Expedition,21,1.05,21500.2,-57,$136002,$58637,-24.82435897,5,2,Medium Income,Black
Mitsubishi,3000GT,17,1,20647.35294,-47,$110001,$58501,-37.09569892,3,2,Medium Income,Pale White
Mercury,Sable,10,1,40934.1,49,$39340,$58477,-68.04535519,,,Medium Income,Pale White
Buick,Century,24,1,17029.375,14,$51002,$58386,-14.13823529,3,3,Low Income,Pale White
Infiniti,I30,11,1,26327.81818,-35,$88502,$57921,-12.6419619,1,1,Medium Income,Pale White
Volkswagen,Cabrio,24,1,18489.75,-2,$59101,$57881,-43.25392157,2,2,High Income,Pale White
Chrysler,Sebring Coupe,22,1,20159.68182,-7,$62100,$57850,1.49122807,2,2,High Income,Red
Chevrolet,Corvette,17,1,26017.88235,-26,$78001,$57692,,3,2,High Income,Black
Toyota,Camry,13,1,30923.15385,-1,$58000,$57429,-43.69816278,1,1,Medium Income,Black
Cadillac,Escalade,3,1,38000.33333,,,$57001,-49.99912281,,,Medium Income,Pale White
Chrysler,Concorde,1,1,19000,,,$57000,,,,Medium Income,Red
Jeep,Grand Cherokee,1,1,19000,,,$57000,,,,Medium Income,Black
Chrysler,300M,26,1,16057.88462,-49,$112502,$56933,-41.00207254,7,4,Low Income,Red
Porsche,Boxter,16,1,26000.125,-64,$156001,$56728,-27.27179487,5,2,Low Income,Black
Mercedes-B,S-Class,23,1,18869.78261,-38,$91000,$56609,-32.60833333,4,2,Low Income,Red
Chevrolet,Camaro,22,1,19691.27273,64,$34500,$56505,-9.231831909,2,3,High Income,Pale White
Oldsmobile,Intrigue,8,1,37562.5,-20,$70500,$56344,-65.53883792,1,1,Medium Income,Pale White
BMW,528i,15,1,27526.93333,94,$29000,$56305,-24.92666667,1,2,High Income,Red
Cadillac,Seville,19,1,20684.63158,-28,$78002,$56144,-14.93333333,2,1,Low Income,Pale White
Lexus,GS400,12,1,28000.25,,,$56001,-64.77968831,,,Medium Income,Pale White
Plymouth,Breeze,10,1,39000.2,43,$39000,$55715,-52.38034188,1,1,Low Income,Red
Chevrolet,Metro,6,1,37083.5,-25,$74000,$55625,,2,2,Low Income,Red
Mercury,Villager,16,1,24328.4375,-7,$60002,$55608,-34.38661491,3,3,High Income,Black
Nissan,Xterra,26,1.04,17655.32,58,$35000,$55173,-57.88320611,2,3,High Income,Black
Lexus,LX470,10,1,38400.2,266,$15000,$54857,21.90444444,1,4,Medium Income,Pale White
Dodge,Durango,16,1,21656.5,12,$49000,$54711,1.314790467,2,2,Medium Income,Pale White
Ford,Ranger,10,1,30950.3,-44,$97000,$54618,,1,1,Medium Income,Black
Ford,Crown Victoria,5,1,21800.4,172,$20001,$54501,,1,3,Medium Income,Pale White
Chrysler,300M,17,1,20264.88235,-48,$104500,$54395,-17.58333333,4,2,Medium Income,Pale White
Honda,Accord,8,1,43000.25,26,$43000,$54316,-57.89555282,,,Medium Income,Black
Jeep,Wrangler,25,1,16620.28,-23,$70002,$54197,-59.40299625,2,2,Low Income,Red
Dodge,Ram Van,22,1,19702.45455,-50,$108402,$54182,-60.73853467,3,1,High Income,Pale White
Mercedes-B,SLK230,12,1,33083.66667,-19,$66500,$54137,-45.31781865,2,2,Low Income,Black
Dodge,Caravan,18,1,21044.72222,42,$38000,$54115,-62.80756014,1,1,High Income,Red
Honda,Odyssey,9,1,30055.77778,,,$54100,-66.60493827,,,Medium Income,Pale White
Toyota,Tacoma,10,1,36040.2,-25,$72000,$54060,-49.94444444,2,2,Low Income,Black
Ford,Explorer,17,1,22242.70588,21,$44501,$54018,-45.43801703,,,High Income,Black
Lexus,RX300,1,1,18000,,,$54000,0,,,Medium Income,Black
Chrysler,Concorde,29,1.074074074,15270.62963,-26,$72804,$53779,-48.19028718,3,2,High Income,Black
Toyota,4Runner,14,1,25514.64286,4,$51601,$53581,-58.4001677,2,2,High Income,Black
Subaru,Forester,17,1.0625,23390.75,21,$44250,$53465,-51.39633825,2,2,Medium Income,Black
Mercedes-B,SLK,15,1,26138.06667,106,$26000,$53464,-32.05744059,1,2,Low Income,Black
Chevrolet,Cavalier,20,1,21350.25,-51,$109000,$53376,-36.45714286,4,2,Medium Income,Pale White
Nissan,Quest,10,1,32000.3,,,$53334,-44.44375,,,High Income,Pale White
Porsche,Carrera Coupe,16,1,22172.4375,142,$22001,$53214,-47.24915244,1,2,High Income,Red
Pontiac,Firebird,7,1,43000.28571,24,$43001,$53118,-58.82325581,1,1,Medium Income,Black
Buick,Park Avenue,13,1,29846.53846,16,$45500,$52910,-80.40392144,1,1,Low Income,Red
Toyota,4Runner,9,1,35111.22222,50,$35000,$52667,-49.84095238,1,2,Low Income,Red
Volkswagen,Jetta,19,1,22168.63158,-21,$66500,$52651,-60.33822976,2,2,High Income,Black
Toyota,Land Cruiser,19,1,21195.05263,-18,$64001,$52527,-58.80235294,2,2,High Income,Black
Dodge,Durango,13,1,26923.38462,,,$52501,-43.54731183,,,Low Income,Red
Nissan,Sentra,24,1,16021.125,64,$32000,$52433,-45.66641106,,,Low Income,Black
Mitsubishi,Montero,26,1,16019.34615,-46,$96000,$52063,8.464583333,6,3,Low Income,Black
Chrysler,Town & Country,10,1,34680.2,,,$52020,-58.71526868,,,High Income,Pale White
Chevrolet,Corvette,14,1,26000.35714,0,$52000,$52001,0.001923077,2,2,Low Income,Black
BMW,528i,17,1.0625,24844,-18,$63000,$51848,-17.7015873,3,2,Medium Income,Black
Ford,F-Series,15,1,25340.26667,-22,$66500,$51832,-22.29201961,1,1,High Income,Black
Acura,RL,17,1,23323.70588,-57,$120003,$51718,-65.69286899,4,2,Medium Income,Pale White
Dodge,Intrepid,10,1,31000.2,-17,$62000,$51667,-44.44408602,1,1,Low Income,Red
Subaru,Outback,6,1,54417,5,$49001,$51553,,,,Medium Income,Red
Mercury,Cougar,13,1,30369.30769,-44,$92001,$51496,-33.97948718,2,1,Medium Income,Black
Chevrolet,Monte Carlo,17,1,22173.64706,-57,$118900,$51403,7.987227159,3,1,High Income,Pale White
Oldsmobile,Silhouette,22,1,18659.22727,53,$33500,$51313,-13.39578059,2,3,Medium Income,Pale White
Toyota,Celica,19,1,20689.84211,-39,$84101,$51275,-35.50476718,2,1,Medium Income,Pale White
Saturn,LW,18,1,21778,-18,$62000,$51131,,4,3,Medium Income,Pale White
Oldsmobile,Aurora,10,1,37450.4,-12,$58002,$51069,-76.10829372,,,Medium Income,Red
Lexus,GS300,1,1,17000,,,$51000,0,,,Medium Income,Red
Mercedes-B,SL-Class,2,1,17000,,,$51000,,,,Medium Income,Red
Mercedes-B,E-Class,12,1,29708.33333,64,$31000,$50929,-72.83786667,1,2,Medium Income,Pale White
Plymouth,Neon,15,1.071428571,27857.35714,-33,$76001,$50870,-5.796296296,1,1,Medium Income,Pale White
Lexus,ES300,9,1,30122.33333,218,$16000,$50831,5.233629381,1,3,High Income,Black
Lincoln,Continental,7,1,38714.42857,-50,$102001,$50813,-27.9248227,2,1,Medium Income,Pale White
Chevrolet,Metro,25,1,16260.12,15,$44000,$50813,-46.22962963,2,2,Medium Income,Pale White
Ford,Explorer,11,1,35409.27273,-60,$126500,$50805,-5.921893228,3,1,Medium Income,Pale White
Toyota,Camry,12,1,31000.25,-45,$93001,$50728,,3,2,Low Income,Pale White
Chrysler,LHS,16,1,24250.1875,-38,$82002,$50609,-19.66952906,1,1,Medium Income,Pale White
Buick,Regal,7,1,43193.42857,-61,$129503,$50392,,,,High Income,Red
Mitsubishi,Montero,23,1,16057,3,$49101,$50361,-47.540625,1,1,High Income,Black
Chevrolet,Camaro,19,1,21079.21053,-39,$82501,$50063,-30.46805556,3,2,Low Income,Pale White
Saturn,SW,2,1,25001,,,$50002,,,,Medium Income,Pale White
Chrysler,Town & Country,19,1,21000.31579,47,$34001,$49876,-15.46583956,2,3,Low Income,Pale White
Toyota,Land Cruiser,19,1.055555556,22166.83333,-21,$63001,$49875,-20.83584648,1,1,Low Income,Black
Saab,SportCombi,13,1,28038.76923,-11,$56000,$49705,-41.35241646,2,2,Low Income,Pale White
Chrysler,Sebring Conv.,1,1,16500,,,$49500,,,,Medium Income,Black
Porsche,Boxter,23,1,17167.69565,-45,$90001,$49357,-68.66281912,4,2,High Income,Pale White
Nissan,Frontier,16,1,19500.125,,,$49263,-67.15865683,,,Medium Income,Pale White
Mercedes-B,S-Class,31,1.033333333,13131.93333,-3,$51002,$49245,7.754753725,4,4,High Income,Pale White
Mercury,Grand Marquis,10,1.111111111,36111.44444,-31,$71000,$48750,,1,1,Medium Income,Pale White
Acura,TL,14,1,17357.21429,-22,$62001,$48600,15.71428571,,,Medium Income,Pale White
Hyundai,Sonata,23,1,16891.6087,-63,$132003,$48563,-28.58592394,5,2,Low Income,Pale White
Hyundai,Elantra,15,1.153846154,27269.46154,-58,$114001,$48341,-26.75606061,2,1,Low Income,Pale White
Plymouth,Prowler,7,1,34510.14286,,,$48314,-70.85128205,,,Medium Income,Red
Toyota,Land Cruiser,17,1,20823.82353,-15,$57000,$48273,-75.05309995,2,2,Low Income,Pale White
Mitsubishi,3000GT,18,1,20361.33333,152,$19000,$47805,-45.52322998,1,3,Medium Income,Red
Saab,Aero,16,1.066666667,24366.93333,83,$26000,$47674,-66.71972077,1,2,Medium Income,Black
Audi,A6,15,1,21066.8,-28,$65501,$47400,-62.38095238,4,3,Medium Income,Pale White
Infiniti,I30,17,1,21368,2,$46500,$47381,-64.50941177,2,2,High Income,Red
Oldsmobile,Bravada,19,1,18267.68421,-12,$53500,$47330,-65.32727739,3,3,High Income,Red
Nissan,Maxima,9,1,26167.33333,,,$47101,-69.51431049,,,Low Income,Red
Porsche,Boxter,17,1,19323.76471,-51,$96001,$46929,-58.83421053,2,1,Low Income,Pale White
Pontiac,Sunfire,8,1,43000.25,9,$43000,$46909,,1,1,Medium Income,Red
Toyota,4Runner,8,1,35162.75,-33,$70001,$46884,-77.67428571,2,1,High Income,Red
Plymouth,Breeze,2,1,39000,,,$46800,,,,Medium Income,Red
Honda,Civic,10,1,31149.2,3,$45490,$46724,-37.70133333,,,Medium Income,Pale White
Jeep,Grand Cherokee,18,1.058823529,20147.29412,-39,$76001,$46705,-18.06140351,3,2,Low Income,Black
Toyota,Camry,8,1,31075.375,50,$31000,$46613,-49.88011139,,,High Income,Pale White
Acura,RL,12,1,28483.66667,50,$31000,$46610,-55.35568901,1,2,Medium Income,Red
Saab,SportCombi,3,1,41134,,,$46276,-62.37723577,,,High Income,Black
Hyundai,Elantra,14,1.076923077,23692.30769,5,$44000,$46200,-30,2,2,Low Income,Red
Mercedes-B,CLK Coupe,16,1.066666667,23466.93333,-30,$66000,$45914,-30.43649531,3,2,Low Income,Pale White
Porsche,Boxter,14,1,24036.07143,-52,$96503,$45887,,1,0,Low Income,Red
Honda,Passport,14,1,25100.35714,-5,$48501,$45835,-42.34736233,2,2,High Income,Black
Saturn,SC,4,1,61000,,,$45750,-75,,,Medium Income,Pale White
Chrysler,Concorde,9,1,37167,-25,$61002,$45614,-65.44446296,2,1,Medium Income,Pale White
Dodge,Caravan,16,1,20875.25,-57,$105001,$45546,-77.34063671,5,2,Low Income,Red
Dodge,Durango,17,1,20529.64706,-44,$81001,$45522,,3,2,Medium Income,Black
Mitsubishi,Galant,7,1,41143.14286,8,$42000,$45474,-63.90952381,,,Medium Income,Pale White
Ford,Mustang,12,1,27750.16667,-68,$143002,$45409,-31.19848485,3,1,Medium Income,Pale White
Mitsubishi,Eclipse,12,1,26416.91667,-13,$52000,$45286,-39.61866667,1,1,Medium Income,Black
Ford,Expedition,13,1,22038.69231,,,$45237,-31.45909091,,,Low Income,Red
Mitsubishi,Diamante,17,1,20367.82353,8,$42000,$45163,-56.57403846,2,2,Medium Income,Pale White
Mercedes-B,CL500,9,1,28366.88889,-23,$58401,$45053,-49.09265537,2,2,High Income,Pale White
Mercedes-B,C-Class,1,1,15001,,,$45003,,,,Medium Income,Red
Chevrolet,Corvette,7,1,45000.28571,,,$45000,-66.66691358,,,Medium Income,Red
Ford,Escort,1,1,15000,,,$45000,0,,,Medium Income,Pale White
Toyota,Land Cruiser,14,1,22500.07143,-6,$48000,$45000,-21.05263158,3,3,Low Income,Red
Ford,F-Series,22,1,13613.86364,-14,$52001,$44926,-34.88985507,3,3,Low Income,Pale White
Volvo,C70,2,1,82000.5,,,$44728,,,,Medium Income,Red
Jeep,Grand Cherokee,17,1.0625,22344,6,$42000,$44688,-52.71211191,2,2,Low Income,Red
Volvo,S80,10,1,25035.1,,,$44180,-41.09333333,,,Low Income,Red
Honda,CR-V,12,1.090909091,25318.36364,0,$44001,$43974,-62.41538462,1,1,Medium Income,Pale White
Lexus,GS300,6,1,17000.33333,157,$17000,$43715,,1,3,Low Income,Pale White
Oldsmobile,Bravada,13,1,25661.61538,-30,$62000,$43513,-33.46636086,2,1,Medium Income,Black
Buick,Park Avenue,2,1,29000.5,50,$29000,$43501,,1,2,Medium Income,Black
Ford,Expedition,15,1,22173.53333,-34,$66000,$43383,-34.27017363,3,2,High Income,Red
Buick,Regal,3,1,43333.33333,,,$43333,,,,Medium Income,Pale White
Toyota,Sienna,14,1,23693,12,$38700,$43265,-39.06423853,2,2,High Income,Pale White
Ford,Taurus,13,1,22038.53846,-2,$44000,$42975,-34.88636364,1,1,Low Income,Red
Jeep,Wrangler,5,1,60100,-28,$60000,$42929,-76.15055556,1,1,High Income,Black
Lexus,ES300,4,1,25000.25,168,$16000,$42858,,1,3,Medium Income,Black
Buick,LeSabre,17,1,20100.05882,-29,$60500,$42713,-64.40583333,2,1,High Income,Black
Chevrolet,Camaro,13,1,24077.07692,-13,$49001,$42682,-40.71944444,2,2,Low Income,Red
Lincoln,Continental,11,1,24545.90909,,,$42632,,,,Medium Income,Black
Pontiac,Grand Am,15,1.071428571,22311.07143,-25,$57001,$42594,-27.19347726,2,1,High Income,Red
Dodge,Stratus,9,1,29833.55556,,,$42395,-54.80373553,,,High Income,Pale White
Dodge,Avenger,11,1,26882.09091,88,$22500,$42243,-49.40958084,1,2,High Income,Pale White
Pontiac,Bonneville,7,1,36142.85714,,,$42167,-60.95648148,,,Medium Income,Black
BMW,328i,12,1,21041.66667,0,$42000,$42083,-33.2015873,2,2,Low Income,Red
Subaru,Forester,13,1,24811.76923,147,$17000,$42072,-46.06153846,1,2,High Income,Pale White
Saab,SportCombi,4,1,28000.25,50,$28000,$42000,,1,2,Medium Income,Pale White
Ford,Focus,17,1,19632.58824,74,$24000,$41719,-66.59219398,1,2,High Income,Red
Hyundai,Sonata,17,1,17994.23529,-46,$76801,$41714,-75.39040607,3,2,High Income,Pale White
Volkswagen,GTI,5,1,25000,-44,$75000,$41667,,1,1,Medium Income,Black
Oldsmobile,Bravada,18,1,17680.83333,-42,$72001,$41512,-47.78496138,4,2,Low Income,Red
Chevrolet,Prizm,15,1,18366.86667,158,$16001,$41325,-74.00976088,1,3,Medium Income,Black
Buick,Century,16,1,17097.3125,-20,$51001,$41034,-73.49276177,3,2,High Income,Pale White
Toyota,Corolla,4,1,41000.75,,,$41001,-66.66666667,,,Medium Income,Red
Hyundai,Accent,15,1,18167.66667,11,$36701,$40877,-24.72007366,2,2,High Income,Black
Volvo,S80,13,1,25138.92308,-46,$75101,$40851,-45.532,3,2,High Income,Red
Volkswagen,GTI,13,1,25123.23077,-18,$50000,$40825,-45.56884391,2,2,High Income,Red
Nissan,Pathfinder,14,1,23143.14286,-36,$63002,$40501,-74.03782051,2,1,Medium Income,Red
Mitsubishi,Diamante,10,1,21500,,,$40313,-38.91969697,,,Medium Income,Black
Toyota,RAV4,11,1,24327.54545,,,$40140,,,,Medium Income,Pale White
Volkswagen,Beetle,7,1,38142.85714,-11,$45000,$40050,-70.33333333,1,1,Medium Income,Pale White
Ford,Windstar,9,1,31055.77778,-36,$62001,$39929,-57.0655914,2,1,Low Income,Red
Chrysler,300M,18,1,16255.83333,-19,$49001,$39901,,3,2,High Income,Red
Chevrolet,Impala,18,1,16250.27778,-38,$64000,$39887,-5.030952381,3,2,Low Income,Pale White
Lincoln,Navigator,9,1,31000.44444,-57,$93001,$39858,-50.79259259,3,1,Medium Income,Pale White
Cadillac,Seville,14,1.076923077,22450.23077,-11,$44600,$39798,-56.85993951,1,1,High Income,Pale White
Mercedes-B,CL500,10,1,29140.2,36,$29200,$39737,-54.32528736,1,1,High Income,Red
Dodge,Intrepid,8,1,31187.75,25,$31501,$39395,-78.9896695,1,1,High Income,Red
Saturn,SW,8,1,36062.5,-64,$108000,$39341,-63.57314815,3,1,High Income,Black
Ford,Windstar,12,1,21750,-22,$50000,$39150,-33.07692308,1,1,Medium Income,Pale White
Ford,Focus,16,1,18750.125,15,$34001,$39131,-47.82602899,1,1,Low Income,Pale White
Nissan,Maxima,8,1,22825,-50,$78000,$39129,-55.48464164,3,2,High Income,Red
Ford,Expedition,14,1,19550.21429,5,$37100,$39100,-45.69519868,1,1,High Income,Pale White
Audi,A8,1,1,13001,,,$39003,,,,High Income,Pale White
Ford,Mustang,9,1,30333.77778,-43,$68000,$39001,,1,1,Medium Income,Red
Audi,A8,1,1,13000,,,$39000,,,,Medium Income,Pale White
Ford,F-Series,1,1,13000,,,$39000,,,,Medium Income,Red
Mercedes-B,SLK230,9,1,33000,-61,$99000,$38739,-81.81267606,3,1,Medium Income,Pale White
Acura,Integra,4,1,45000,-14,$45000,$38571,-71.42888889,,,Medium Income,Black
BMW,328i,10,1,29330.3,-39,$63100,$38257,-69.49202552,1,1,High Income,Pale White
Mercedes-B,M-Class,12,1,18041.83333,,,$38206,-46.9368481,,,Low Income,Black
Mercedes-B,S-Class,13,1,18573.46154,,,$38124,-12.36466451,,,High Income,Red
Toyota,Land Cruiser,16,1,17418.875,55,$24501,$38005,-63.59744066,,,High Income,Red
Jaguar,S-Type,13,1,20423.46154,-37,$60301,$37929,-13.79968637,3,2,High Income,Black
Mercedes-B,CL500,10,1,29050.3,-35,$58001,$37892,,2,1,Medium Income,Red
Mercedes-B,M-Class,6,1,35750.33333,,,$37853,,,,Medium Income,Pale White
Saturn,SW,10,1,25230.4,51,$25001,$37846,-49.54068504,1,2,High Income,Pale White
Audi,A4,24,1.043478261,12600.21739,-55,$84602,$37801,-30.00074071,5,2,High Income,Pale White
BMW,323i,13,1,20308,-40,$63001,$37715,,2,1,Medium Income,Red
Porsche,Carrera Coupe,8,1,22000.375,,,$37715,-65.71457142,,,Medium Income,Red
Volkswagen,Jetta,8,1,22000.125,71,$22000,$37715,-42.85692641,,,Medium Income,Black
Dodge,Viper,9,1,30639,-60,$95000,$37602,-55.23678008,2,1,Medium Income,Pale White
Volkswagen,Cabrio,10,1,25000.3,50,$25000,$37500,-50.00199992,,,Low Income,Red
Mercedes-B,M-Class,9,1,25000.22222,-25,$50001,$37500,-50,2,1,Low Income,Red
Toyota,Avalon,9,1,18000.22222,,,$37385,-30.76851852,,,Low Income,Pale White
Chevrolet,Impala,16,1,17094,-49,$72504,$37296,-15.23636364,4,2,High Income,Pale White
Jaguar,S-Type,3,1,29000,,,$37286,,,,Medium Income,Red
Porsche,Carrera Coupe,17,1,16029.41176,-54,$80000,$37159,-22.58541667,5,2,Low Income,Black
Mercury,Sable,4,1,55625.25,-63,$100500,$37084,,2,1,Medium Income,Red
Ford,F-Series,18,1,13689.11111,-9,$40500,$36961,-11.15144231,2,2,High Income,Pale White
Volvo,V70,6,1,39000.16667,-53,$78001,$36948,,1,0,Medium Income,Black
Honda,CR-V,19,1,14908,54,$24000,$36946,-83.57955556,2,3,Low Income,Red
Cadillac,DeVille,8,1,33825.375,-59,$91000,$36900,-72.04672515,1,0,High Income,Pale White
Chevrolet,Malibu,4,1,52250.25,-55,$82001,$36883,,1,0,Medium Income,Red
Saturn,SL,9,1,20444.77778,-12,$42000,$36801,-38.66704443,1,1,Low Income,Red
Chevrolet,Prizm,14,1,20107.28571,145,$15000,$36718,-44.36919534,1,2,Medium Income,Red
Plymouth,Neon,12,1,22375.25,26,$29000,$36614,-67.88245614,1,1,Medium Income,Black
Toyota,Sienna,12,1,24208.83333,-60,$90001,$36313,-53.44666231,2,1,Low Income,Pale White
Dodge,Stratus,8,1,30250.125,-41,$62000,$36300,-60.969001,1,1,Medium Income,Red
Acura,RL,13,1,20384.69231,-34,$54500,$36137,-40.26942149,3,2,Medium Income,Black
Chrysler,Cirrus,1,1,12000,200,$12000,$36000,,1,3,Medium Income,Pale White
Toyota,Land Cruiser,1,1,12000,,,$36000,,,,Medium Income,Pale White
Toyota,Sienna,7,1,24000.14286,89,$19001,$36000,-76.92307692,,,Medium Income,Pale White
Honda,CR-V,9,1,21279.11111,,,$35909,-0.252777778,,,High Income,Red
Porsche,Carrera Coupe,17,1,16132.58824,-25,$48002,$35772,-25.475,2,1,High Income,Black
Dodge,Intrepid,26,1.04,11440.32,-46,$66002,$35751,-56.66703029,3,2,Low Income,Black
Ford,Mustang,16,1,17125.125,15,$31000,$35739,-77.52264151,1,1,Low Income,Black
Toyota,Corolla,6,1,31500.16667,-57,$82000,$35438,-46.30606061,,,Medium Income,Pale White
Ford,Taurus,8,1,22106.5,61,$22000,$35370,-73.41660842,1,2,High Income,Pale White
Hyundai,Accent,15,1,18066.86667,-3,$36500,$35348,-34.54074074,1,1,Low Income,Black
Oldsmobile,Aurora,4,1,38250.25,,,$35308,-83.42347418,,,Medium Income,Pale White
Volkswagen,GTI,8,1,25000.375,,,$35295,-52.94188232,,,Low Income,Red
Mercury,Cougar,9,1,22155.88889,56,$22500,$35189,-46.68333333,1,2,High Income,Red
Nissan,Xterra,3,1,31266.66667,,,$35175,-62.17741935,,,High Income,Pale White
Ford,Mustang,15,1,18680.53333,58,$22101,$35026,-46.9311071,1,2,High Income,Black
Toyota,4Runner,4,1,35000,,,$35000,,,,Low Income,Pale White
Volkswagen,Golf,9,1,19444.66667,,,$35000,-2.777777778,,,Medium Income,Pale White
BMW,323i,28,1,9161.071429,-23,$45602,$34979,-4.174999315,3,2,High Income,Black
Mercedes-B,CLK Coupe,10,1,22085.2,,,$34871,,,,High Income,Pale White
Honda,Passport,11,1,23227.36364,29,$27000,$34841,-10.66410256,,,Medium Income,Pale White
Mercury,Grand Marquis,14,1,19035.92857,-60,$86000,$34761,,1,0,Medium Income,Black
Mitsubishi,Montero Sport,7,1,36215,-49,$68001,$34569,-60.26688735,2,1,Medium Income,Red
Chevrolet,Impala,12,1,21016.75,-18,$42000,$34391,-78.16472172,2,2,High Income,Black
Jeep,Cherokee,18,1.058823529,14823.82353,23,$28001,$34364,-45.45569982,1,1,Low Income,Red
Chevrolet,Impala,6,1,21000.33333,,,$34364,-45.45569982,,,Low Income,Black
Mercedes-B,M-Class,10,1,25110.3,37,$25000,$34241,-77.33179745,1,1,High Income,Red
Ford,Contour,4,1,51250.25,,,$34167,-81.63064516,,,Medium Income,Pale White
Plymouth,Prowler,8,1,25625.125,7,$32000,$34167,-28.81875,1,1,Medium Income,Pale White
Volvo,S70,9,1,26389,70,$20000,$33929,-57.58875,,,Medium Income,Pale White
Pontiac,Grand Am,7,1,22428.71429,-11,$38000,$33643,-81.91236559,1,1,Medium Income,Red
Nissan,Altima,8,1,21000.375,-20,$42000,$33601,-46.66677248,2,2,Low Income,Red
Toyota,Sienna,15,1,17133.6,-40,$55501,$33522,-71.53121019,2,1,Medium Income,Black
Pontiac,Grand Prix,5,1,49000,76,$19000,$33409,-83.86038647,1,2,Medium Income,Red
Volvo,C70,5,1,35600,-59,$82000,$33375,,1,0,Medium Income,Pale White
Chevrolet,Monte Carlo,10,1,20000.1,59,$21000,$33334,,,,Medium Income,Red
Hyundai,Elantra,9,1,22200.33333,,,$33301,-51.09985316,,,High Income,Red
Jeep,Grand Cherokee,11,1,19168.27273,74,$19100,$33292,-43.09351657,1,2,High Income,Black
Ford,Focus,12,1,19396.25,-43,$58650,$33251,-19.09929199,1,1,High Income,Pale White
Saturn,SC,6,1,33083.66667,,,$33084,-67.08059701,,,Medium Income,Black
Ford,Crown Victoria,1,1,11000,200,$11000,$33000,,1,3,Medium Income,Black
Hyundai,Elantra,2,1,22000,,,$33000,,,,Medium Income,Red
Cadillac,Seville,5,1,44000.4,-25,$44000,$33000,,,,Medium Income,Black
Saturn,SL,1,1,11000,,,$33000,,,,Medium Income,Black
Mercedes-B,SL-Class,2,1,38415,-14,$38500,$32927,,1,1,Medium Income,Black
Lexus,LS400,14,1,16446.71429,153,$13001,$32893,-57.00373846,1,3,Low Income,Red
Chrysler,300M,8,1,26000.25,26,$26000,$32842,-57.89595139,1,1,Medium Income,Black
Chevrolet,Cavalier,12,1,20000.41667,64,$20000,$32728,-45.45333333,1,2,Low Income,Red
Mercedes-B,M-Class,12,1,18133.58333,-40,$54000,$32640,-41.18918919,3,2,High Income,Black
Saturn,SW,10,1,25000.1,-67,$100000,$32609,-78.26066667,2,1,Low Income,Pale White
Ford,F-Series,20,1,13025.15,-37,$52000,$32563,-72.52137077,3,2,Low Income,Red
Cadillac,Catera,5,1,28000.4,,,$32308,-61.53809524,,,Low Income,Red
Ford,Contour,13,1,19038.46154,70,$19000,$32283,-81.12105263,1,2,Low Income,Red
Nissan,Sentra,16,1,16119,-2,$32800,$32238,-59.95329251,2,2,High Income,Black
Ford,Escort,22,1,11207.59091,-29,$45060,$32161,-2.548330404,3,2,Low Income,Black
